restaurant_id,rate,votes
46689,"""NEW""",0
36088,"""3.0 /5""",16
37190,"""NEW""",0
45938,"""4.2 /5""",263
22474,"""3.7/5""",44
21605,,6
44819,"""4.0 /5""",731
23430,"""NEW""",0
14386,"""3.3/5""",9
5792,"""3.2/5""",4
51463,"""3.4 /5""",23
13663,"""3.4/5""",19
34491,"""3.6 /5""",20
38624,"""4.1 /5""",2144
34441,"""3.9 /5""",97
50759,,0
6654,,0
43040,"""3.4 /5""",6
49285,"""4.0 /5""",977
45228,"""3.8 /5""",61
38035,"""3.5 /5""",13
14658,"""3.1/5""",48
25546,,0
9096,"""3.7/5""",42
11196,"""3.4/5""",5
334,"""4.1/5""",130
34418,"""3.8 /5""",21
31729,"""3.7 /5""",101
42049,"""3.7 /5""",205
42064,"""3.5 /5""",21
13611,"""3.7/5""",54
35725,"""4.1 /5""",300
23457,"""4.4/5""",2075
32351,"""4.2 /5""",972
48885,"""3.9 /5""",26
46355,"""3.3 /5""",4
3403,"""3.8 /5""",25
1174,"""3.5/5""",20
20279,"""4.1/5""",216
37683,"""4.3 /5""",619
17562,"""4.6/5""",1308
29578,"""3.8 /5""",222
39660,"""4.1 /5""",257
31878,,0
44444,"""3.9 /5""",117
47048,"""3.9 /5""",252
2203,,0
21306,"""4.2 /5""",1466
1175,"""3.4/5""",7
27352,"""3.9/5""",58
37550,"""4.5 /5""",3996
46277,"""NEW""",0
4813,"""4.7/5""",163
40781,"""2.6 /5""",62
46478,"""3.4 /5""",8
13019,,0
41439,"""4.0 /5""",105
4056,"""3.2/5""",4
39801,"""4.0 /5""",397
6834,"""3.2/5""",22
11713,"""3.5/5""",56
20118,"""3.6/5""",60
6786,"""4.3/5""",330
42967,"""3.6 /5""",11
885,"""3.7/5""",37
24105,"""3.6/5""",18
13955,"""3.6/5""",16
1055,"""4.1/5""",381
15296,,0
36528,"""3.8 /5""",69
800,"""4.3/5""",275
23514,"""3.7/5""",11
17682,"""3.3/5""",9
11207,"""3.5/5""",14
50926,"""4.5 /5""",187
29080,"""2.5 /5""",109
34929,"""3.7 /5""",129
38633,"""4.2 /5""",634
24684,"""4.1/5""",577
41377,"""2.5 /5""",23
3706,"""3.1/5""",29
13157,"""3.3/5""",13
31221,"""3.5 /5""",15
38840,"""3.0 /5""",31
14787,"""3.1/5""",112
20276,"""3.8/5""",75
45552,"""4.4 /5""",96
28743,"""3.7 /5""",51
679,"""3.6/5""",24
12816,"""3.6/5""",104
1536,,0
4205,"""3.1/5""",9
